Entrant ID,Motion ID,Start Date,End Date,File ID,First Name,Family Name,Craft Type
1,801,2024-04-21,2024-04-30,PRU801AIV,Aivo,Prükk,Windsurf
2,802,2024-04-21,2024-04-30,LAU802AND,Andy,Laufer,Windsurf
3,803,2024-04-21,2024-04-30,ALB803ANT,Antoine,Albeau,Windsurf
4,804,2024-04-21,2024-04-30,GAR804ANT,Antoine,Gardais,Windsurf
5,805,2024-04-21,2024-04-30,TEX805AUG,Augusto,Texeira,Windsurf
6,806,2024-04-21,2024-04-30,HAA806BJO,Bjorn,Haacke,Windsurf
7,807,2024-04-21,2024-04-30,LOR807BRE,Brendan,Lorho,Windsurf
8,808,2024-04-21,2024-04-30,BOR808CED,Cédric,Bordes,Windsurf
9,810,2024-04-21,2024-04-30,BOR810CHR,Christian,Bornemann,Windsurf
10,811,2024-04-21,2024-04-30,DEU811CHR,Christophe,Deus,Windsurf
11,812,2024-04-21,2024-04-30,EVR812CYR,Cyril,Evrard,Windsurf
12,813,2024-04-21,2024-04-30,BEN813DAN,Daniele,Benedetti,Windsurf
13,814,2024-04-21,2024-04-30,BOU814GAU,Sébastien,Bourgeois,Windsurf
14,815,2024-04-21,2024-04-30,DEM815GUI,Guillaume,Demartres,Windsurf
15,816,2024-04-21,2024-04-30,KRE816HAN,Hans,Kreisel,Windsurf
16,817,2024-04-21,2024-04-30,CLA817HAR,Harald,Claessen,Windsurf
17,818,2024-04-21,2024-04-30,ULR818HEI,Heidi,Ulrich,Windsurf
18,819,2024-04-21,2024-04-30,TAR819JEA,Jean-Charles,Le Tarnec,Windsurf
19,648,2024-04-21,2024-04-30,GIB648JEN,Jenna,Gibson,Windsurf
20,821,2024-04-21,2024-04-30,CRO821JIM,Jim,Crossley,Windsurf
21,822,2024-04-21,2024-04-30,THA822JUR,Jürgen,Thau,Windsurf
22,823,2024-04-21,2024-04-30,KUP823KLA,Klaus,Küppenbender,Windsurf
23,824,2024-04-21,2024-04-30,FES824LAU,Laurent,Fesquet,Windsurf
24,825,2024-04-21,2024-04-30,OLD825LUC,Luca,Old,Windsurf
25,826,2024-04-21,2024-04-30,PIE826LUC,Luca,Pierboni,Windsurf
26,827,2024-04-21,2024-04-30,KOL827LUI,Luisa,Kolmer,Windsurf
27,829,2024-04-21,2024-04-30,FLO829MAD,Florian,Madec,Windsurf
28,833,2024-04-21,2024-04-30,IAC833MAT,Matteo,Iachino,Windsurf
29,836,2024-04-21,2024-04-30,TOR836MEL,Melek,Toraman,Windsurf
30,838,2024-04-21,2024-04-30,GEO838MIC,Michael,George,Windsurf
31,841,2024-04-21,2024-04-30,BRO841MIC,Michael,Brozio,Windsurf
32,845,2024-04-21,2024-04-30,GAR845NIC,Nicolas-David,Garrel,Windsurf
33,849,2024-04-21,2024-04-30,BAC849NIL,Nils,Bach,Windsurf
34,852,2024-04-21,2024-04-30,BOU852PAS,Pascal,Boulanger,Windsurf
35,853,2024-04-21,2024-04-30,OBE853PAT,Patrick,Oberlender,Windsurf
36,854,2024-04-21,2024-04-30,MOR854PIE,Pierre,Mortefon,Windsurf
37,855,2024-04-21,2024-04-30,ORN855ROG,Roger,Ornvang,Windsurf
38,857,2024-04-21,2024-04-30,STA857SCO,Scotty,Stallman,Windsurf
39,858,2024-04-21,2024-04-30,PET858SIM,Simon,Pettifer,Windsurf
40,861,2024-04-21,2024-04-30,SET861SUF,Sufyan,Setti,Windsurf
41,866,2024-04-21,2024-04-30,MOL866THO,Thomas,Moldenhauer,Windsurf
42,867,2024-04-21,2024-04-30,LUI867THO,Thorsten,Luig,Windsurf
43,869,2024-04-21,2024-04-30,OTT869TIM,Tim,Otte,Windsurf
44,870,2024-04-21,2024-04-30,MAL870TOR,Torsten,Mallon,Windsurf
45,871,2024-04-21,2024-04-30,VAL871VIN,Vincent,Valkenaers,Windsurf
46,872,2024-04-21,2024-04-30,VAN872WIL,Wilfried,Vanherweghe,Windsurf
47,873,2024-04-21,2024-04-30,HUP873WIL,William,Huppert,Windsurf
54,601,2024-04-21,2024-04-30,MAR601BRU,Bruno,Martini,Windsurf
56,607,2024-04-21,2024-04-30,DEB607FRA,Franciszek,Debowski,Windsurf
55,611,2024-04-21,2024-04-30,BER611JOA,Joa,van den Berg,Windsurf
57,615,2024-04-21,2024-04-30,MAL615TES,Tessa,Mallon,Windsurf
99,617,2024-04-21,2024-04-30,ZZZ617ZZZ,TBC,TBC,TBC
99,618,2024-04-21,2024-04-30,ZZZ618ZZZ,TBC,TBC,TBC
99,619,2024-04-21,2024-04-30,ZZZ619ZZZ,TBC,TBC,TBC
52,625,2024-04-21,2024-04-30,FAB625ROB,Robert,Fabrice,Windsurf
99,630,2024-04-21,2024-04-30,ZZZ630ZZZ,TBC,TBC,TBC
99,631,2024-04-21,2024-04-30,ZZZ631ZZZ,TBC,TBC,TBC
99,632,2024-04-21,2024-04-30,ZZZ632ZZZ,TBC,TBC,TBC
99,633,2024-04-21,2024-04-30,ZZZ633ZZZ,TBC,TBC,TBC
99,634,2024-04-21,2024-04-30,ZZZ634ZZZ,TBC,TBC,TBC
99,635,2024-04-21,2024-04-30,ZZZ635ZZZ,TBC,TBC,TBC
99,639,2024-04-21,2024-04-30,ZZZ639ZZZ,TBC,TBC,TBC
99,641,2024-04-21,2024-04-30,ZZZ641ZZZ,TBC,TBC,TBC
99,642,2024-04-21,2024-04-30,ZZZ642ZZZ,TBC,TBC,TBC
99,643,2024-04-21,2024-04-30,ZZZ643ZZZ,TBC,TBC,TBC
99,647,2024-04-21,2024-04-30,ZZZ647ZZZ,TBC,TBC,TBC
99,651,2024-04-21,2024-04-30,ZZZ651ZZZ,TBC,TBC,TBC
99,652,2024-04-21,2024-04-30,ZZZ652ZZZ,TBC,TBC,TBC
99,653,2024-04-21,2024-04-30,ZZZ653ZZZ,TBC,TBC,TBC
53,656,2024-04-21,2024-04-30,LOG656MAR,Marius,Loglisci,Windsurf
99,660,2024-04-21,2024-04-30,ZZZ660ZZZ,TBC,TBC,TBC
48,661,2024-04-21,2024-04-30,SCH661ARN,Arnold,Schreurs,Windsurf
99,662,2024-04-21,2024-04-30,ZZZ662ZZZ,TBC,TBC,TBC
99,663,2024-04-21,2024-04-30,ZZZ663ZZZ,TBC,TBC,TBC
50,664,2024-04-21,2024-04-30,MON664MAR,Martim,Monteiro,Windsurf
99,665,2024-04-21,2024-04-30,ZZZ665ZZZ,TBC,TBC,TBC
99,667,2024-04-21,2024-04-30,ZZZ667ZZZ,TBC,TBC,TBC
99,668,2024-04-21,2024-04-30,ZZZ668ZZZ,TBC,TBC,TBC
99,669,2024-04-21,2024-04-30,ZZZ669ZZZ,TBC,TBC,TBC
51,693,2024-04-21,2024-04-30,STE693BEN,Ben,Van Der Steen,Windsurf
99,694,2024-04-21,2024-04-30,ZZZ694ZZZ,TBC,TBC,TBC
99,695,2024-04-21,2024-04-30,ZZZ695ZZZ,TBC,TBC,TBC
99,699,2024-04-21,2024-04-30,ZZZ699ZZZ,TBC,TBC,TBC
99,700,2024-04-21,2024-04-30,ZZZ700ZZZ,TBC,TBC,TBC
99,701,2024-04-21,2024-04-30,ZZZ701ZZZ,TBC,TBC,TBC
49,705,2024-04-21,2024-04-30,MAY705FAB,Fabien,Mayou,Windsurf
99,717,2024-04-21,2024-04-30,ZZZ717ZZZ,TBC,TBC,TBC
99,718,2024-04-21,2024-04-30,ZZZ718ZZZ,TBC,TBC,TBC
99,724,2024-04-21,2024-04-30,ZZZ724ZZZ,TBC,TBC,TBC
1003,8030,2024-04-21,2024-04-30,ALB8030ANT,Antoine,Albeau,Windfoil
1004,8040,2024-04-21,2024-04-30,GAR8040ANT,Antoine,Gardais,Windfoil
1047,8730,2024-04-21,2024-04-30,HUP8730WIL,William,Huppert,Windfoil
1054,6010,2024-04-21,2024-04-30,MAR6010BRU,Bruno,Martini,Windfoil
1028,8330,2024-04-21,2024-04-30,IAC8330MAT,Matteo,Iachino,Windfoil
1038,8570,2024-04-21,2024-04-30,STA8570SCO,Scotty,Stallman,Windfoil
1049,7050,2024-04-21,2024-04-30,MAY7050FAB,Fabien,Mayou,Windfoil
1019,6480,2024-04-21,2024-04-30,GIB6480JEN,Jenna,Gibson,Windfoil
1002,8020,2024-04-21,2024-04-30,LAU8020AND,Andy,Laufer,Windfoil
1051,6930,2024-04-21,2024-04-30,STE6930BEN,Ben,Van Der Steen,Windfoil
1007,8070,2024-04-21,2024-04-30,LOR8070BRE,Brendan,Lorho,Windfoil
1010,8110,2024-04-21,2024-04-30,DEU8110CHR,Christophe,Deus,Windfoil
1011,8120,2024-04-21,2024-04-30,EVR8120CYR,Cyril,Evrard,Windfoil
1008,8080,2024-04-21,2024-04-30,BOR8080CED,Cédric,Bordes,Windfoil
1012,8130,2024-04-21,2024-04-30,BEN8130DAN,Daniele,Benedetti,Windfoil
1027,8290,2024-04-21,2024-04-30,FLO8290MAD,Florian,Madec,Windfoil
1020,8210,2024-04-21,2024-04-30,CRO8210JIM,Jim,Crossley,Windfoil
1026,8270,2024-04-21,2024-04-30,KOL8270LUI,Luisa,Kolmer,Windfoil
1050,6640,2024-04-21,2024-04-30,MON6640MAR,Martim,Monteiro,Windfoil
1031,8410,2024-04-21,2024-04-30,BRO8410MIC,Michael,Brozio,Windfoil
1030,8380,2024-04-21,2024-04-30,GEO8380MIC,Michael,George,Windfoil
1033,8490,2024-04-21,2024-04-30,BAC8490NIL,Nils,Bach,Windfoil
1036,8540,2024-04-21,2024-04-30,MOR8540PIE,Pierre,Mortefon,Windfoil
1039,8580,2024-04-21,2024-04-30,PET8580SIM,Simon,Pettifer,Windfoil
1040,8610,2024-04-21,2024-04-30,SET8610SUF,Sufyan,Setti,Windfoil
1013,8140,2024-04-21,2024-04-30,BOU8140GAU,Sébastien,Bourgeois,Windfoil
1041,8660,2024-04-21,2024-04-30,MOL8660THO,Thomas,Moldenhauer,Windfoil
1042,8670,2024-04-21,2024-04-30,LUI8670THO,Thorsten,Luig,Windfoil
1044,8700,2024-04-21,2024-04-30,MAL8700TOR,Torsten,Mallon,Windfoil
1057,6150,2024-04-21,2024-04-30,MAL6150TES,Tessa,Mallon,Windfoil
1045,8710,2024-04-21,2024-04-30,VAL8710VIN,Vincent,Valkenaers,Windfoil
1046,8720,2024-04-21,2024-04-30,VAN8720WIL,Wilfried,Vanherweghe,Windfoil
